anio_siniestro_x,mes,rango_horario,participantes_siniestro,gravedad_siniestro,temperatura_media,es_fin_de_semana,lluvia_mm,velocidad_viento,humedad_relativa
2022,4,7.0,BICICLETA-AUTO,LEVE,15.7,0,0.0,20.9,71.0
2024,6,15.0,MOTO-AUTO,LEVE,21.1,1,0.0,11.9,79.0
2024,10,12.0,PEATON-MOVIL,LEVE,,1,,,
2022,12,11.0,SD-SD,LEVE,,1,,,
2021,3,11.0,SD-SD,LEVE,15.8,0,0.0,1.9,94.0
2024,7,14.0,MOTO-AUTO,LEVE,7.7,1,0.0,6.0,50.0
2021,11,6.0,MOTO-AUTO,LEVE,21.2,1,1.5,10.6,80.0
2023,3,15.0,MOTO-AUTO,LEVE,27.8,0,0.0,9.8,62.0
2022,8,23.0,TAXI-SD,LEVE,9.5,0,0.0,13.5,45.0
2023,11,14.0,SD-SD,LEVE,24.8,0,0.0,22.5,42.0
2021,1,13.0,PEATON-AUTO,LEVE,26.6,0,0.0,13.5,44.0
2019,12,16.0,TRANSPORTE PUBLICO-AUTO,LEVE,21.9,0,,10.7,35.0
2019,2,20.0,PEATON-TAXI,LEVE,,0,,,
2024,11,17.0,PEATON-BICICLETA,LEVE,30.8,1,0.0,6.1,48.0
2024,2,12.0,PEATON-AUTO,GRAVE,25.0,0,0.0,8.8,79.0
2019,5,23.0,MOTO-AUTO,LEVE,14.9,0,,4.2,86.0
2020,3,16.0,PEATON-AUTO,LEVE,20.6,0,,15.3,62.0
2021,11,2.0,MOTO-AUTO,LEVE,24.6,0,0.0,13.8,61.0
2022,4,13.0,PEATON-SD,LEVE,20.4,1,0.0,8.1,80.0
2022,4,8.0,MOTO-AUTO,LEVE,9.1,1,0.0,3.7,72.0
2022,1,9.0,MOTO-AUTO,LEVE,29.2,1,0.0,8.6,50.0
2019,8,20.0,MOTO-AUTO,LEVE,11.5,0,,7.0,68.0
2024,5,16.0,SD-SD,LEVE,15.9,1,0.0,10.7,79.0
2022,10,23.0,MOTO-AUTO,LEVE,,1,,,
2019,1,23.0,BICICLETA-CAMION,LEVE,27.0,0,,16.9,68.0
2023,2,10.0,SD-SD,LEVE,17.7,1,0.0,6.8,75.0
2024,9,18.0,AUTO-TRANSPORTE PUBLICO,LEVE,21.3,0,0.0,14.9,67.0
2019,11,4.0,PEATON-TAXI,LEVE,23.7,0,,14.5,87.0
2019,7,19.0,AUTO-AUTO,LEVE,14.8,0,,9.2,52.0
2024,9,1.0,SD-SD,LEVE,15.4,0,0.0,23.8,48.0
2021,12,23.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,22.8,0,0.0,20.7,72.0
2024,6,12.0,MOTO-UTILITARIO,LEVE,,0,,,
2024,4,13.0,TRANSPORTE PUBLICO-AUTO,LEVE,21.3,1,0.0,16.5,61.0
2024,12,18.0,SD-SD,LEVE,,0,,,
2023,12,5.0,MOTO-AUTO,LEVE,25.1,0,0.0,11.5,80.0
2023,10,18.0,MOTO-AUTO,LEVE,19.2,1,0.0,10.5,37.0
2023,1,21.0,PEATON-MOTO,GRAVE,32.6,1,0.0,9.3,33.0
2019,4,21.0,SD-SD,LEVE,17.0,0,,10.0,96.0
2020,2,12.0,AUTO-AUTO,LEVE,19.9,0,,10.9,53.0
2022,4,14.0,BICICLETA-TAXI,LEVE,13.1,1,0.0,11.3,66.0
2022,7,19.0,MOTO-AUTO,LEVE,12.1,0,0.0,8.2,96.0
2024,6,12.0,PEATON-TRANSPORTE PUBLICO,LEVE,20.3,0,0.0,11.0,72.0
2019,4,18.0,PEATON-AUTO,LEVE,19.4,0,,11.2,53.0
2023,10,13.0,SD-SD,LEVE,23.6,1,0.0,7.1,51.0
2024,11,21.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,19.5,0,0.0,19.5,65.0
2019,9,13.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,22.5,0,,19.2,49.0
2022,3,0.0,BICICLETA-AUTO,LEVE,11.7,0,0.1,28.4,89.0
2024,9,15.0,SD-SD,LEVE,19.1,0,0.0,9.5,76.0
2024,12,21.0,MOTO-MOTO,LEVE,23.7,1,0.0,15.3,61.0
2023,6,18.0,MOTO-AUTO,LEVE,17.2,0,0.0,19.0,37.0
2020,11,16.0,BICICLETA-MOTO,LEVE,22.5,0,,8.8,60.0
2020,3,18.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,28.8,0,,8.4,47.0
2019,10,15.0,BICICLETA-AUTO,LEVE,21.4,0,,15.6,51.0
2019,8,12.0,MOTO-MOTO,GRAVE,3.9,0,,7.8,73.0
2024,12,11.0,SD-SD,LEVE,14.1,0,0.0,8.5,49.0
2022,2,10.0,PEATON-UTILITARIO,LEVE,17.9,0,0.0,6.6,87.0
2024,2,12.0,SD-SD,LEVE,21.9,1,0.0,22.1,70.0
2023,8,11.0,MOTO-AUTO,LEVE,18.7,0,0.0,4.1,79.0
2023,2,3.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,22.7,0,0.0,18.6,68.0
2019,8,15.0,PEATON-MOTO,LEVE,16.5,1,,4.7,41.0
2019,1,21.0,SD-SD,LEVE,23.0,0,,18.3,90.0
2019,7,12.0,UTILITARIO-AUTO,LEVE,10.2,0,,20.5,70.0
2019,9,23.0,MOTO-AUTO,LEVE,13.4,1,,10.0,89.0
2019,1,4.0,AUTO-TRANSPORTE PUBLICO,LEVE,24.5,0,,17.1,68.0
2021,12,9.0,SD-SD,LEVE,19.8,0,0.0,17.3,75.0
2021,4,9.0,PEATON-SD,LEVE,19.0,0,0.1,19.0,81.0
2021,4,9.0,BICICLETA-AUTO,GRAVE,20.5,0,0.0,8.4,86.0
2023,10,18.0,MOTO-UTILITARIO,LEVE,15.3,0,0.0,22.4,40.0
2022,3,13.0,SD-AUTO,LEVE,19.3,0,0.2,14.8,79.0
2021,4,19.0,MONOPATIN-SD,LEVE,,1,,,
2023,3,13.0,MOTO-UTILITARIO,LEVE,26.5,0,0.0,21.2,75.0
2020,11,9.0,SD-SD,LEVE,14.2,0,,1.3,88.0
2023,12,14.0,MOTO-TRANSPORTE PUBLICO,LEVE,24.4,0,0.0,18.2,58.0
2024,4,18.0,MOTO-AUTO,LEVE,20.2,0,0.0,8.5,30.0
2022,4,10.0,PEATON-AUTO,LEVE,10.1,0,0.0,2.4,76.0
2019,12,9.0,MOTO-AUTO,GRAVE,,0,,,
2022,9,23.0,MOTO-AUTO,LEVE,19.5,0,0.0,11.0,61.0
2019,4,9.0,MOTO-OBJETO FIJO,GRAVE,16.6,1,,3.2,94.0
2019,6,14.0,SD-SD,LEVE,13.5,0,,11.9,77.0
2022,12,19.0,MOTO-AUTO,GRAVE,34.9,0,0.0,9.8,43.0
2019,1,16.0,AUTO-AUTO,LEVE,,1,,,
2021,2,19.0,MOTO-SD,LEVE,27.6,0,0.0,14.6,34.0
2022,1,13.0,UTILITARIO-UTILITARIO,LEVE,26.3,0,0.0,10.9,78.0
2019,3,16.0,AUTO-AUTO,LEVE,28.6,0,,18.4,46.0
2023,10,18.0,MOTO-SD,LEVE,18.1,0,0.0,10.3,58.0
2019,3,11.0,MOTO-AUTO,LEVE,,0,,,
2020,9,8.0,AUTO-UTILITARIO,LEVE,8.9,1,,13.3,87.0
2020,11,19.0,BICICLETA-AUTO,LEVE,23.2,0,,16.2,43.0
2019,6,16.0,MOTO-AUTO,LEVE,9.8,0,,9.8,44.0
2021,2,10.0,SD-SD,LEVE,17.2,0,0.0,11.0,89.0
2023,9,12.0,AUTO-AUTO,LEVE,11.6,0,0.0,5.6,50.0
2019,5,14.0,MOTO-AUTO,GRAVE,14.9,1,,10.7,81.0
2019,10,19.0,PEATON-UTILITARIO,LEVE,18.5,1,,17.9,89.0
2024,2,11.0,BICICLETA-AUTO,LEVE,25.9,1,0.0,16.4,68.0
2023,7,0.0,AUTO-AUTO,LEVE,11.5,0,0.0,16.0,64.0
2020,3,20.0,BICICLETA-AUTO,LEVE,29.6,1,,8.2,47.0
2020,3,15.0,AUTO-AUTO,LEVE,22.9,0,,17.1,63.0
2023,7,8.0,MOTO-AUTO,LEVE,6.2,0,0.0,14.7,80.0
2019,8,13.0,MOTO-UTILITARIO,LEVE,18.4,0,,7.6,77.0
2023,10,10.0,MOTO-AUTO,LEVE,13.6,0,0.0,4.9,56.0
2020,3,14.0,MOTO-SD,LEVE,20.3,0,,10.1,65.0
2019,2,16.0,PEATON-SD,LEVE,26.4,0,,15.1,56.0
2019,10,17.0,MOTO-AUTO,LEVE,19.8,1,,14.8,40.0
2022,7,9.0,BICICLETA-AUTO,LEVE,4.5,0,0.0,6.9,83.0
2024,12,18.0,MOTO-AUTO,LEVE,24.0,0,0.0,17.6,39.0
2020,9,19.0,MOTO-SD,LEVE,14.2,1,,14.2,55.0
2022,4,22.0,BICICLETA-MOTO,LEVE,14.4,0,0.0,12.5,71.0
2023,8,17.0,MOTO-AUTO,LEVE,14.0,0,0.0,13.2,67.0
2021,8,19.0,SD-SD,LEVE,14.7,0,0.0,9.0,53.0
2023,9,11.0,PEATON-AUTO,LEVE,12.8,1,0.0,16.6,85.0
2023,9,16.0,MOTO-AUTO,LEVE,9.9,1,4.2,25.6,92.0
2021,9,12.0,BICICLETA-AUTO,LEVE,14.6,1,0.0,24.9,83.0
2019,3,13.0,TAXI-AUTO,LEVE,18.8,0,,4.3,92.0
2021,4,19.0,SD-SD,LEVE,23.9,0,0.0,18.2,64.0
2022,5,9.0,BICICLETA-AUTO,LEVE,6.2,0,0.0,9.2,86.0
2024,7,12.0,AUTO-AUTO,LEVE,7.7,1,0.0,8.5,62.0
2023,8,18.0,BICICLETA-SD,LEVE,13.6,0,0.0,11.2,61.0
2024,12,18.0,MOTO-AUTO,LEVE,27.8,0,0.0,9.3,43.0
2019,9,15.0,PEATON-TRANSPORTE PUBLICO,LEVE,13.7,0,,10.7,48.0
2024,6,22.0,MOTO-MOTO,LEVE,15.4,0,0.0,9.7,61.0
2021,7,21.0,PEATON-AUTO,LEVE,10.8,1,0.0,17.6,41.0
2020,3,20.0,BICICLETA-AUTO,LEVE,29.7,0,,9.2,46.0
2022,3,22.0,MOTO-TRANSPORTE PUBLICO,GRAVE,19.2,0,0.0,11.5,80.0
2024,5,18.0,MOTO-CAMION,LEVE,15.5,0,0.0,15.7,39.0
2023,9,18.0,BICICLETA-UTILITARIO,LEVE,13.6,0,0.1,14.7,70.0
2021,11,19.0,MOTO-MOTO,LEVE,21.4,1,0.0,14.6,57.0
2022,1,10.0,TRANSPORTE PUBLICO-MOVIL,LEVE,21.1,0,0.5,12.6,93.0
2023,10,12.0,MOTO-CAMION,LEVE,13.5,0,0.0,7.5,55.0
2021,4,0.0,AUTO-SD,LEVE,19.5,1,0.0,14.6,79.0
2022,5,15.0,BICICLETA-UTILITARIO,LEVE,12.0,0,0.0,15.5,64.0
2024,11,14.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,17.4,1,0.1,15.1,86.0
2020,5,15.0,TRANSPORTE PUBLICO-SD,LEVE,17.1,0,,8.8,73.0
2024,9,11.0,PEATON-AUTO,LEVE,14.2,0,0.0,13.7,91.0
2020,3,20.0,AUTO-AUTO,LEVE,31.4,0,,11.2,38.0
2021,7,16.0,AUTO-AUTO,LEVE,13.8,0,0.0,8.3,67.0
2022,3,20.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,25.3,0,0.0,12.8,58.0
2023,9,14.0,SD-SD,LEVE,12.0,0,0.1,21.4,86.0
2020,5,13.0,TRANSPORTE PUBLICO-SD,LEVE,12.8,0,,16.9,56.0
2022,5,2.0,MOTO-OBJETO FIJO,GRAVE,13.8,0,0.0,11.2,79.0
2019,9,8.0,MOTO-AUTO,LEVE,,0,,,
2024,1,6.0,BICICLETA-UTILITARIO,MORTAL,21.8,0,0.0,13.6,78.0
2019,12,17.0,SD-SD,LEVE,22.7,0,,8.1,91.0
2024,7,6.0,MOTO-TRANSPORTE PUBLICO,GRAVE,5.2,0,0.0,2.9,86.0
2021,4,8.0,BICICLETA-TRANSPORTE PUBLICO,LEVE,20.7,0,0.0,11.8,82.0
2021,9,17.0,SD-SD,LEVE,,0,,,
2023,10,16.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,14.1,0,0.0,19.7,48.0
2019,12,18.0,MOTO-AUTO,LEVE,,0,,,
2022,7,10.0,SD-SD,LEVE,6.9,0,0.0,17.3,84.0
2022,3,15.0,MOTO-SD,LEVE,22.9,0,0.0,13.7,66.0
2024,4,2.0,MOTO-AUTO,LEVE,,1,,,
2024,9,13.0,UTILITARIO-OBJETO FIJO,LEVE,16.3,0,0.0,6.9,66.0
2019,6,7.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,14.2,0,,6.4,88.0
2022,11,20.0,MOTO-OBJETO FIJO,LEVE,28.8,0,0.0,17.3,28.0
2023,5,13.0,MOTO-AUTO,LEVE,18.9,0,0.0,14.5,71.0
2023,8,19.0,MOTO-AUTO,LEVE,15.6,0,0.0,29.9,25.0
2024,12,16.0,SD-SD,LEVE,20.8,0,0.0,12.3,56.0
2019,2,11.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,25.0,0,,9.7,71.0
2022,12,17.0,CAMION-CAMION,LEVE,27.8,0,0.0,18.5,55.0
2019,3,16.0,MOTO-AUTO,LEVE,25.7,1,,9.2,62.0
2023,8,19.0,BICICLETA-AUTO,LEVE,,0,,,
2022,8,9.0,BICICLETA-AUTO,LEVE,9.6,0,0.0,2.1,91.0
2024,9,13.0,BICICLETA-TAXI,LEVE,18.8,0,0.0,11.5,40.0
2023,10,14.0,PEATON-MOTO,LEVE,22.4,0,0.0,13.6,59.0
2022,1,23.0,CAMION-CAMION,LEVE,,0,,,
2020,12,17.0,SD-SD,LEVE,24.9,0,,10.8,47.0
2023,3,17.0,MOTO-AUTO,LEVE,23.5,0,0.0,13.0,57.0
2019,2,9.0,MOTO-UTILITARIO,LEVE,24.6,0,,3.7,69.0
2019,5,17.0,MOVIL-AUTO,LEVE,23.0,0,,11.9,56.0
2023,4,14.0,SD-SD,LEVE,14.6,0,0.0,9.4,53.0
2023,2,13.0,MOTO-AUTO,LEVE,29.8,0,0.0,4.1,50.0
2019,5,9.0,MOTO-AUTO,LEVE,12.0,0,,2.9,89.0
2023,8,12.0,AUTO-SD,LEVE,12.9,0,0.0,14.9,63.0
2019,4,18.0,MOTO-AUTO,LEVE,20.7,0,,13.4,65.0
2023,5,7.0,BICICLETA-AUTO,LEVE,8.0,0,0.0,7.9,76.0
2024,9,11.0,CAMION-CAMION,LEVE,17.5,0,0.0,15.3,82.0
2024,11,15.0,SD-SD,LEVE,26.1,1,0.0,14.1,49.0
2022,7,17.0,AUTO-AUTO,LEVE,10.4,0,0.0,9.7,53.0
2023,5,23.0,PEATON-TRANSPORTE PUBLICO,LEVE,15.8,0,0.0,12.9,68.0
2020,7,18.0,MOTO-UTILITARIO,LEVE,13.4,0,,7.3,38.0
2019,8,15.0,PEATON-TRANSPORTE PUBLICO,LEVE,13.5,0,,8.0,69.0
2023,9,22.0,PEATON-AUTO,LEVE,16.7,0,0.0,5.5,49.0
2021,8,14.0,SD-SD,LEVE,17.5,0,0.0,11.1,33.0
2024,4,11.0,CAMION-CAMION,LEVE,16.3,0,0.0,35.6,90.0
2021,7,5.0,AUTO-OBJETO FIJO,LEVE,14.8,1,0.0,6.0,83.0
2024,6,13.0,SD-SD,LEVE,13.8,0,0.0,9.6,77.0
2022,11,6.0,PEATON-AUTO,LEVE,24.9,0,0.0,13.2,67.0
2020,9,15.0,AUTO-TRANSPORTE PUBLICO,LEVE,10.5,0,,28.3,95.0
2024,12,12.0,MOTO-AUTO,LEVE,21.2,0,0.0,5.4,60.0
2019,8,19.0,MOTO-TRANSPORTE PUBLICO,LEVE,19.9,0,,4.5,52.0
2021,6,15.0,TAXI-AUTO,LEVE,18.2,0,0.0,10.2,74.0
2021,12,18.0,BICICLETA-UTILITARIO,LEVE,26.0,1,0.0,25.3,56.0
2019,3,22.0,MOTO-MOTO,LEVE,18.7,0,,19.3,69.0
2019,8,19.0,PEATON-CAMION,LEVE,10.6,1,,17.4,51.0
2021,3,17.0,MOTO-TRANSPORTE PUBLICO,LEVE,20.5,0,0.0,12.1,60.0
2022,3,9.0,SD-SD,LEVE,15.4,0,0.0,8.7,78.0
2019,9,18.0,MOTO-TAXI,LEVE,15.2,0,,10.7,50.0
2021,3,8.0,PEATON-SD,LEVE,,0,,,
2022,10,12.0,AUTO-AUTO,GRAVE,,0,,,
2022,1,0.0,AUTO-AUTO,LEVE,25.0,0,0.0,18.9,68.0
2019,6,17.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,20.2,0,,8.7,50.0
2022,8,19.0,MOTO-AUTO,LEVE,11.2,0,0.0,11.7,57.0
2019,9,0.0,MOTO-TAXI,LEVE,12.6,1,,15.7,90.0
2021,10,8.0,SD-SD,LEVE,20.8,0,0.0,4.1,68.0
2024,4,22.0,SD-SD,LEVE,15.9,0,0.0,14.6,50.0
2020,2,11.0,TRANSPORTE PUBLICO-TAXI,LEVE,18.5,0,,9.6,55.0
2024,1,9.0,MOTO-AUTO,LEVE,16.2,1,0.0,8.7,78.0
2022,10,13.0,MOTO-UTILITARIO,LEVE,17.1,0,0.0,15.6,63.0
2020,7,8.0,BICICLETA-AUTO,LEVE,6.6,0,,12.3,80.0
2021,7,20.0,BICICLETA-MOTO,LEVE,14.2,0,0.0,9.3,33.0
2023,4,14.0,MOTO-UTILITARIO,LEVE,16.0,0,0.0,17.1,57.0
2022,7,20.0,UTILITARIO-TRANSPORTE PUBLICO,LEVE,13.1,0,0.0,4.8,94.0
2023,9,14.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,15.5,0,0.0,30.3,82.0
2020,7,10.0,AUTO-SD,LEVE,8.8,0,,7.6,73.0
2022,3,15.0,MOTO-AUTO,LEVE,25.8,0,0.0,17.8,60.0
2022,11,17.0,MONOPATIN-AUTO,LEVE,24.1,0,0.0,13.7,44.0
2024,12,18.0,PEATON-AUTO,LEVE,30.7,0,,11.5,42.0
2024,3,17.0,PEATON-AUTO,LEVE,25.2,0,0.0,9.7,36.0
2021,4,0.0,BICICLETA-AUTO,LEVE,21.9,0,0.0,17.7,90.0
2024,7,22.0,SD-SD,LEVE,8.2,1,0.0,5.0,67.0
2023,3,10.0,PEATON-AUTO,LEVE,22.6,1,0.0,15.6,81.0
2021,11,16.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,20.0,0,0.0,17.3,52.0
2019,5,16.0,MOTO-AUTO,LEVE,17.8,0,,10.5,85.0
2022,11,19.0,AUTO-AUTO,LEVE,26.6,0,0.0,24.0,55.0
2019,1,14.0,MOTO-AUTO,LEVE,21.0,0,,23.3,58.0
2021,11,3.0,PEATON-MOTO,LEVE,21.6,1,0.0,25.9,86.0
2024,1,14.0,MOTO-AUTO,LEVE,,0,,,
2019,4,17.0,SD-SD,LEVE,23.5,0,,9.5,62.0
2024,1,22.0,MOTO-AUTO,LEVE,24.7,0,0.0,30.0,56.0
2020,7,18.0,PEATON-TRANSPORTE PUBLICO,LEVE,11.9,0,,15.9,44.0
2020,7,7.0,PEATON-MOVIL,LEVE,2.6,0,,2.7,77.0
2023,6,7.0,SD-SD,LEVE,4.4,0,0.0,2.7,73.0
2022,10,12.0,MOTO-SD,LEVE,13.7,0,0.0,22.0,70.0
2019,10,10.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,20.1,1,,12.6,76.0
2024,2,9.0,BICICLETA-BICICLETA,LEVE,26.0,0,0.0,7.1,77.0
2024,12,14.0,PEATON-AUTO,LEVE,24.0,0,0.0,15.5,62.0
2020,8,17.0,PEATON-TAXI,LEVE,14.8,1,,14.1,43.0
2019,4,19.0,MOTO-AUTO,LEVE,18.6,0,,11.7,53.0
2019,6,7.0,AUTO-AUTO,LEVE,16.9,0,,10.1,95.0
2023,2,16.0,MOTO-AUTO,LEVE,25.9,0,0.0,12.7,38.0
2019,9,7.0,MOTO-AUTO,LEVE,8.8,0,,13.3,80.0
2023,12,5.0,MOTO-UTILITARIO,LEVE,19.4,1,0.0,7.1,84.0
2020,3,13.0,BICICLETA-AUTO,LEVE,25.1,0,,10.2,66.0
2021,8,11.0,SD-SD,LEVE,3.7,0,0.0,9.7,75.0
2024,8,21.0,TAXI-MOVIL,LEVE,11.0,1,,17.9,93.0
2022,4,23.0,MOTO-AUTO,LEVE,14.4,0,0.0,4.4,58.0
2021,2,15.0,BICICLETA-AUTO,LEVE,21.9,0,0.1,12.5,87.0
2023,2,20.0,BICICLETA-AUTO,LEVE,11.6,0,0.0,12.2,81.0
2022,3,13.0,PEATON-MOTO,LEVE,22.4,0,0.0,15.1,67.0
2023,4,15.0,BICICLETA-MOTO,LEVE,23.4,0,0.0,11.2,63.0
2024,12,14.0,TAXI-AUTO,LEVE,23.6,0,0.0,4.5,65.0
2020,2,14.0,MOTO-TRANSPORTE PUBLICO,MORTAL,26.9,0,,7.8,54.0
2023,5,21.0,PEATON-MOTO,LEVE,15.8,0,0.0,6.8,37.0
2024,11,16.0,PEATON-AUTO,LEVE,17.3,0,0.8,8.4,92.0
2019,12,0.0,MOTO-AUTO,LEVE,27.4,0,,13.0,50.0
2019,8,10.0,SD-SD,LEVE,7.4,1,,11.9,69.0
2024,12,14.0,SD-SD,LEVE,21.4,0,0.0,11.1,58.0
2021,7,17.0,BICICLETA-AUTO,LEVE,13.1,0,0.0,15.3,54.0
2023,1,15.0,MOTO-UTILITARIO,LEVE,27.3,0,0.0,15.6,28.0
2021,10,20.0,AUTO-AUTO,LEVE,20.5,1,0.0,11.2,48.0
2023,10,11.0,TRANSPORTE PUBLICO-AUTO,LEVE,10.5,0,0.1,23.0,81.0
2021,3,2.0,MOTO-SD,LEVE,17.2,1,0.0,2.8,91.0
2021,1,12.0,AUTO-UTILITARIO,LEVE,20.8,0,0.0,15.4,72.0
2023,7,13.0,MOTO-TAXI,LEVE,6.5,0,0.0,4.9,63.0
2023,11,18.0,AUTO-AUTO,LEVE,21.2,1,0.0,19.5,23.0
2019,7,7.0,AUTO-SD,LEVE,18.4,1,,13.6,81.0
2020,10,17.0,SD-SD,LEVE,14.3,0,,21.9,72.0
2023,9,20.0,BICICLETA-AUTO,LEVE,17.4,0,0.0,26.6,72.0
2020,10,14.0,SD-SD,LEVE,16.0,0,,31.8,66.0
2022,2,15.0,MOTO-SD,LEVE,,0,,,
2024,3,7.0,SD-SD,LEVE,16.4,0,0.0,15.7,56.0
2022,10,15.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,19.1,0,0.0,16.4,74.0
2024,3,18.0,MOTO-AUTO,LEVE,26.4,0,0.0,11.7,69.0
2019,10,0.0,MOTO-AUTO,LEVE,,0,,,
2024,10,14.0,MOTO-UTILITARIO,LEVE,25.9,0,0.0,12.2,39.0
2023,9,13.0,PEATON-TAXI,LEVE,18.2,0,0.0,5.6,57.0
2024,6,12.0,SD-SD,LEVE,12.2,0,0.0,2.0,93.0
2022,3,9.0,BICICLETA-AUTO,LEVE,19.9,0,0.0,9.8,75.0
2024,7,14.0,BICICLETA-AUTO,LEVE,7.7,1,0.0,8.8,52.0
2024,7,9.0,PEATON-AUTO,LEVE,1.4,0,0.0,7.4,62.0
2021,3,8.0,MOTO-SD,LEVE,21.9,0,0.0,7.5,70.0
2024,10,0.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,24.6,0,0.0,10.0,59.0
2023,11,11.0,MOTO-UTILITARIO,LEVE,13.2,0,0.3,42.2,89.0
2024,9,17.0,AUTO-AUTO,LEVE,18.7,0,0.0,21.0,48.0
2023,4,11.0,MOTO-AUTO,LEVE,14.3,1,0.0,2.4,86.0
2021,12,22.0,SD-SD,LEVE,22.8,0,0.0,7.3,67.0
2021,4,16.0,BICICLETA-AUTO,LEVE,24.3,0,0.0,4.1,45.0
2022,8,14.0,MOTO-TRANSPORTE PUBLICO,LEVE,11.3,0,0.0,11.2,67.0
2023,2,18.0,MOTO-MOTO,LEVE,32.9,0,0.0,13.6,41.0
2021,10,22.0,SD-SD,LEVE,12.6,0,0.0,3.9,51.0
2021,11,20.0,PEATON-AUTO,LEVE,20.8,0,3.0,16.9,74.0
2023,8,11.0,PEATON-AUTO,LEVE,10.7,0,0.0,6.2,69.0
2022,2,7.0,SD-SD,LEVE,17.4,0,0.0,4.6,96.0
2019,3,18.0,PEATON-MOVIL,LEVE,22.9,0,,12.2,60.0
2019,4,13.0,AUTO-AUTO,LEVE,24.9,0,,13.1,72.0
2024,8,13.0,MOTO-TAXI,LEVE,21.0,0,0.0,15.0,67.0
2019,3,13.0,CAMION-AUTO,LEVE,,0,,,
2023,3,13.0,PEATON-UTILITARIO,LEVE,23.2,0,0.0,17.4,62.0
2024,3,15.0,MIXTO-MOTO,LEVE,24.0,0,0.0,7.9,82.0
2019,3,20.0,MOTO-AUTO,LEVE,20.9,0,,10.7,47.0
2019,12,14.0,SD-SD,LEVE,20.6,0,,11.8,42.0
2022,9,22.0,BICICLETA-MOTO,LEVE,15.4,0,5.5,20.1,87.0
2024,9,15.0,SD-SD,LEVE,15.4,0,0.0,13.9,72.0
2019,6,13.0,MOTO-AUTO,LEVE,13.2,1,,5.0,84.0
2023,12,8.0,SD-SD,LEVE,13.3,0,0.0,7.2,68.0
2024,3,13.0,MOTO-AUTO,LEVE,20.4,0,0.0,15.6,55.0
2023,5,23.0,AUTO-UTILITARIO,LEVE,9.9,1,0.0,9.8,50.0
2022,8,2.0,BICICLETA-AUTO,LEVE,18.7,1,0.0,8.5,85.0
2019,3,6.0,AUTO-AUTO,LEVE,14.0,1,,1.6,96.0
2021,12,4.0,AUTO-SD,LEVE,22.3,1,0.0,8.4,70.0
2019,12,17.0,SD-SD,LEVE,19.5,0,,10.8,88.0
2024,5,23.0,SD-SD,LEVE,8.1,1,0.0,3.5,58.0
2023,12,0.0,MOTO-AUTO,LEVE,19.5,0,0.0,10.8,78.0
2019,10,12.0,MOTO-CAMION,LEVE,12.9,1,,9.7,79.0
2022,4,8.0,PEATON-AUTO,LEVE,17.6,0,0.0,9.8,82.0
2021,11,18.0,MOTO-AUTO,LEVE,26.3,1,0.0,22.2,47.0
2022,11,9.0,MOTO-UTILITARIO,LEVE,19.5,0,0.0,5.8,55.0
2024,5,19.0,SD-SD,LEVE,10.5,1,0.0,10.8,53.0
2022,8,13.0,PEATON-AUTO,LEVE,13.7,0,0.0,11.6,66.0
2024,9,23.0,PEATON-CAMION,LEVE,,0,,,
2022,9,13.0,SD-SD,LEVE,,0,,,
2024,10,12.0,BICICLETA-CAMION,GRAVE,16.5,0,0.0,19.6,80.0
2021,10,15.0,MOTO-TRANSPORTE PUBLICO,LEVE,18.0,0,0.0,13.3,56.0
2019,5,12.0,MOTO-AUTO,LEVE,17.4,0,,4.2,84.0
2024,11,13.0,PEATON-MOTO,LEVE,24.0,0,0.0,17.2,60.0
2019,6,9.0,SD-SD,LEVE,,0,,,
2021,5,9.0,SD-SD,LEVE,8.0,0,0.0,7.4,70.0
2022,10,17.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,21.3,0,0.0,13.3,65.0
2020,12,16.0,PEATON-AUTO,GRAVE,28.1,0,,13.6,43.0
2024,3,12.0,SD-SD,LEVE,21.0,0,0.0,22.2,71.0
2024,7,17.0,SD-SD,LEVE,11.0,0,0.0,19.6,47.0
2022,9,17.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,16.7,0,0.0,17.0,54.0
