anio_siniestro_x,mes,rango_horario,participantes_siniestro,gravedad_siniestro,temperatura_media,es_fin_de_semana,lluvia_mm,velocidad_viento,humedad_relativa
2024,3,15.0,BICICLETA-AUTO,LEVE,19.8,0,0.0,9.3,51.0
2024,6,16.0,SD-SD,LEVE,17.0,0,0.0,18.4,82.0
2022,2,10.0,AUTO-AUTO,LEVE,21.4,0,0.0,20.8,78.0
2022,7,7.0,AUTO-AUTO,LEVE,4.7,1,0.0,0.1,87.0
2019,3,17.0,MOTO-MOTO,LEVE,22.5,0,,13.2,57.0
2024,8,17.0,SD-SD,LEVE,11.0,0,0.0,11.1,66.0
2023,12,13.0,SD-SD,LEVE,24.1,1,0.0,19.6,54.0
2019,6,14.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,14.8,0,,18.5,71.0
2019,5,9.0,MOTO-AUTO,LEVE,13.3,0,,3.9,68.0
2020,2,18.0,MOVIL-SD,LEVE,26.3,1,,14.7,51.0
2024,1,17.0,SD-SD,LEVE,26.6,0,0.0,10.7,57.0
2020,12,10.0,SD-SD,LEVE,18.3,0,,11.0,63.0
2022,2,9.0,MOTO-UTILITARIO,LEVE,,0,,,
2023,7,7.0,SD-SD,LEVE,11.4,1,0.0,13.4,85.0
2020,3,13.0,UTILITARIO-SD,LEVE,24.8,0,,11.4,66.0
2023,6,7.0,SD-SD,LEVE,8.5,0,0.0,2.6,96.0
2021,10,20.0,SD-SD,LEVE,20.2,0,0.0,9.2,44.0
2019,3,10.0,PEATON-AUTO,LEVE,21.4,1,,14.0,83.0
2021,12,11.0,MOTO-AUTO,LEVE,20.0,0,0.0,12.6,75.0
2019,8,18.0,BICICLETA-AUTO,LEVE,13.6,0,,17.4,61.0
2023,5,7.0,MOTO-CAMION,GRAVE,10.6,0,0.0,4.4,71.0
2022,11,13.0,MOTO-AUTO,LEVE,19.2,0,0.0,19.6,64.0
2024,11,16.0,MOTO-AUTO,LEVE,21.4,0,0.0,30.7,59.0
2019,8,16.0,MOTO-AUTO,LEVE,13.7,1,,11.2,77.0
2023,8,12.0,MOTO-AUTO,LEVE,11.3,0,0.0,15.2,59.0
2024,7,9.0,MOTO-AUTO,LEVE,0.9,0,0.0,7.3,66.0
2024,11,18.0,MOTO-AUTO,LEVE,29.1,0,0.0,20.1,57.0
2024,4,8.0,MOTO-AUTO,LEVE,13.9,0,0.0,11.8,70.0
2023,4,8.0,BICICLETA-SD,LEVE,19.0,0,0.0,2.1,89.0
2024,8,20.0,SD-SD,LEVE,16.3,0,0.0,8.5,62.0
2019,8,23.0,MOTO-TAXI,LEVE,11.6,0,,8.0,43.0
2019,1,14.0,BICICLETA-CAMION,GRAVE,20.9,0,,16.5,41.0
2023,1,9.0,MOTO-AUTO,GRAVE,23.1,0,0.0,13.6,55.0
2020,2,13.0,MOTO-CAMION,LEVE,26.6,0,,7.6,50.0
2021,1,0.0,MOTO-AUTO,LEVE,29.1,0,0.0,2.7,34.0
2019,3,14.0,SD-SD,LEVE,16.1,0,,11.2,55.0
2023,10,19.0,MOTO-AUTO,LEVE,18.2,0,0.0,10.4,55.0
2024,7,12.0,BICICLETA-AUTO,LEVE,5.6,0,0.0,8.4,47.0
2023,2,17.0,MOTO-AUTO,LEVE,27.1,0,0.0,7.9,46.0
2022,8,10.0,MOTO-OBJETO FIJO,LEVE,13.4,0,0.0,2.1,94.0
2020,10,17.0,SD-SD,LEVE,19.2,0,,13.0,43.0
2019,3,21.0,PEATON-AUTO,LEVE,20.0,0,,17.4,60.0
2019,5,18.0,BICICLETA-TRANSPORTE PUBLICO,LEVE,22.6,0,,9.4,46.0
2021,12,1.0,BICICLETA-SD,LEVE,20.0,0,0.0,26.9,77.0
2021,7,15.0,CAMION-AUTO,LEVE,13.9,1,0.0,13.4,36.0
2022,7,12.0,SD-SD,LEVE,9.4,0,0.0,10.8,88.0
2019,12,16.0,SD-SD,LEVE,28.6,0,,10.8,49.0
2024,12,9.0,SD-SD,LEVE,12.7,1,0.0,14.8,76.0
2021,7,21.0,MOTO-AUTO,LEVE,10.6,0,0.0,10.4,54.0
2023,4,18.0,MOTO-SD,LEVE,26.8,0,0.0,10.7,44.0
2023,2,20.0,UTILITARIO-BICICLETA,LEVE,32.2,0,0.0,12.4,46.0
2021,12,8.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,18.1,0,0.0,11.2,76.0
2021,1,20.0,BICICLETA-AUTO,LEVE,25.7,1,0.0,10.8,55.0
2024,10,16.0,MOTO-AUTO,LEVE,21.9,0,0.0,15.5,59.0
2023,12,13.0,MOTO-SD,LEVE,24.6,0,0.0,17.0,64.0
2019,8,19.0,MOTO-AUTO,LEVE,19.9,0,,4.0,53.0
2022,8,5.0,TAXI-AUTO,LEVE,10.4,1,0.0,14.5,88.0
2024,1,17.0,SD-SD,LEVE,26.6,1,0.0,8.1,72.0
2023,4,18.0,SD-SD,LEVE,23.6,1,0.0,5.5,56.0
2023,1,16.0,MOTO-TRANSPORTE PUBLICO,LEVE,26.6,0,0.0,13.1,37.0
2024,7,14.0,BICICLETA-TAXI,LEVE,15.0,0,0.0,5.5,47.0
2023,1,8.0,PEATON-TRANSPORTE PUBLICO,GRAVE,18.2,0,0.0,4.3,62.0
2020,8,10.0,PEATON-MOTO,LEVE,5.8,0,,3.6,72.0
2020,11,1.0,AUTO-AUTO,LEVE,17.4,0,,14.5,67.0
2019,4,16.0,MOTO-AUTO,LEVE,20.4,0,,11.4,58.0
2021,10,13.0,SD-SD,LEVE,20.6,0,0.0,9.8,57.0
2023,10,12.0,MOTO-AUTO,LEVE,14.6,1,0.0,2.0,45.0
2024,10,19.0,MOTO-AUTO,LEVE,24.3,1,0.0,10.8,37.0
2021,3,18.0,MOTO-SD,LEVE,27.1,1,0.0,13.3,48.0
2024,9,10.0,PEATON-TRANSPORTE PUBLICO,LEVE,12.2,0,0.0,13.2,81.0
2024,5,16.0,PEATON-TAXI,LEVE,14.2,0,0.0,14.8,56.0
2023,5,19.0,MOTO-AUTO,LEVE,23.0,0,0.0,7.8,55.0
2022,9,0.0,AUTO-MOTO,LEVE,16.3,0,0.0,4.1,86.0
2022,4,21.0,PEATON-AUTO,LEVE,19.0,1,0.0,21.7,54.0
2023,3,22.0,BICICLETA-OBJETO FIJO,LEVE,23.4,0,0.0,21.4,53.0
2021,12,8.0,AUTO-TAXI,LEVE,16.5,0,0.0,4.4,83.0
2022,8,21.0,TRANSPORTE PUBLICO-SD,LEVE,11.1,0,0.0,9.6,41.0
2023,11,20.0,MOTO-SD,LEVE,26.0,1,0.0,12.9,40.0
2020,1,18.0,PEATON-TAXI,LEVE,25.9,0,,12.7,52.0
2023,6,15.0,SD-SD,LEVE,17.4,0,0.0,18.4,68.0
2020,12,12.0,SD-SD,LEVE,19.8,0,,15.8,62.0
2022,4,22.0,TRANSPORTE PUBLICO-AUTO,LEVE,19.8,1,0.0,13.1,84.0
2023,1,15.0,PEATON-SD,LEVE,30.5,0,0.0,8.0,46.0
2019,3,10.0,SD-SD,LEVE,18.3,0,,15.7,75.0
2024,10,13.0,MOTO-AUTO,LEVE,17.1,0,0.0,10.3,40.0
2019,2,17.0,AUTO-AUTO,LEVE,21.1,0,,8.8,62.0
2024,1,12.0,SD-SD,LEVE,26.0,0,0.0,9.6,70.0
2020,11,22.0,BICICLETA-AUTO,LEVE,22.1,1,,4.2,64.0
2024,12,16.0,MIXTO-AUTO,LEVE,29.1,0,,12.1,49.0
2024,9,14.0,AUTO-AUTO,LEVE,16.3,0,0.0,18.4,35.0
2022,10,7.0,PEATON-TAXI,LEVE,15.0,1,0.0,8.3,78.0
2023,8,17.0,MOTO-SD,LEVE,22.0,0,0.0,17.8,44.0
2019,6,13.0,AUTO-MULTIPLE,LEVE,16.0,1,,3.6,87.0
2024,11,9.0,AUTO-CAMION,LEVE,21.8,0,0.0,7.5,90.0
2019,1,8.0,MOTO-AUTO,GRAVE,22.6,0,,16.5,85.0
2020,12,17.0,SD-SD,LEVE,29.9,0,,8.7,59.0
2020,8,0.0,MOTO-OBJETO FIJO,LEVE,21.4,0,,7.6,63.0
2022,2,12.0,AUTO-UTILITARIO,LEVE,21.9,0,0.0,3.0,51.0
2023,10,10.0,PEATON-TRANSPORTE PUBLICO,LEVE,15.6,0,0.0,12.3,48.0
2024,8,19.0,SD-SD,LEVE,9.8,0,0.0,5.7,71.0
2024,1,0.0,MOTO-AUTO,LEVE,22.6,1,0.0,23.9,70.0
2024,8,18.0,SD-SD,LEVE,14.5,0,0.0,12.5,79.0
2024,5,16.0,MOTO-AUTO,LEVE,11.9,1,0.0,6.2,59.0
2023,5,22.0,BICICLETA-AUTO,LEVE,14.0,1,0.0,27.6,77.0
2024,7,21.0,MOTO-AUTO,LEVE,12.5,1,0.0,5.6,83.0
2022,9,10.0,AUTO-AUTO,LEVE,7.3,0,0.0,9.1,82.0
2020,11,15.0,SD-SD,LEVE,21.4,0,,11.8,66.0
2024,12,14.0,MOTO-CAMION,GRAVE,22.8,0,0.2,9.6,66.0
2022,6,21.0,MOTO-AUTO,LEVE,12.1,1,0.0,7.3,44.0
2024,11,15.0,MOTO-AUTO,LEVE,22.0,1,0.0,14.7,63.0
2021,11,9.0,MOTO-UTILITARIO,LEVE,19.6,0,0.0,18.7,51.0
2021,7,22.0,MOTO-AUTO,LEVE,13.3,1,0.7,15.8,88.0
2023,12,10.0,BICICLETA-AUTO,LEVE,19.8,0,0.0,9.9,92.0
2024,7,9.0,SD-SD,LEVE,10.4,0,0.0,1.1,96.0
2022,7,17.0,MOTO-AUTO,LEVE,,0,,,
2020,7,9.0,AUTO-SD,LEVE,9.1,0,,3.0,66.0
2019,4,17.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,23.7,1,,10.2,48.0
2022,12,12.0,MOTO-AUTO,LEVE,21.0,0,0.0,5.2,74.0
2019,2,18.0,PEATON-CAMION,LEVE,31.8,0,,14.6,48.0
2021,8,15.0,AUTO-CAMION,LEVE,13.7,0,0.0,7.6,36.0
2019,5,9.0,SD-SD,LEVE,,0,,,
2019,5,6.0,UTILITARIO-TAXI,LEVE,15.3,0,,10.1,69.0
2021,4,12.0,PEATON-TRANSPORTE PUBLICO,LEVE,18.9,0,0.0,25.3,79.0
2020,5,18.0,BICICLETA-TAXI,LEVE,15.4,0,,8.6,61.0
2024,8,14.0,MOTO-TAXI,LEVE,12.0,0,0.0,14.0,48.0
2023,9,16.0,AUTO-AUTO,LEVE,13.2,0,0.2,10.2,97.0
2022,12,8.0,MOTO-AUTO,LEVE,20.5,0,0.0,14.0,70.0
2022,1,23.0,AUTO-SD,LEVE,24.9,0,0.0,23.8,40.0
2024,1,16.0,MOTO-AUTO,LEVE,26.1,0,0.0,13.3,63.0
2023,9,20.0,MOTO-AUTO,GRAVE,15.1,0,0.0,31.5,56.0
2023,9,9.0,AUTO-UTILITARIO,LEVE,13.1,0,0.0,15.0,88.0
2024,11,16.0,SD-SD,LEVE,29.4,0,0.0,10.2,58.0
2019,2,12.0,SD-SD,LEVE,15.4,0,,15.4,50.0
2023,6,14.0,AUTO-AUTO,LEVE,12.5,0,0.0,10.9,51.0
2024,8,20.0,MOTO-AUTO,LEVE,20.6,0,0.0,9.8,70.0
2019,8,17.0,MOTO-MOTO,LEVE,19.3,0,,17.9,51.0
2023,9,19.0,PEATON-SD,LEVE,19.8,0,0.0,17.6,41.0
2022,5,23.0,MOTO-AUTO,LEVE,11.2,0,0.0,16.7,51.0
2022,6,10.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,4.4,0,0.0,14.4,72.0
2024,5,8.0,SD-SD,LEVE,7.7,0,0.0,10.3,64.0
2021,9,22.0,SD-SD,LEVE,16.9,0,0.0,9.7,42.0
2020,2,9.0,SD-SD,LEVE,26.3,0,,23.0,80.0
2020,12,12.0,SD-SD,LEVE,24.3,1,,13.6,73.0
2020,5,22.0,PEATON-TRANSPORTE PUBLICO,LEVE,14.3,0,,20.5,72.0
2022,9,7.0,MOTO-AUTO,LEVE,9.9,0,0.0,10.0,78.0
2023,4,20.0,AUTO-SD,LEVE,18.3,0,0.0,7.3,58.0
2021,9,11.0,SD-SD,LEVE,10.9,0,0.0,11.9,92.0
2023,3,20.0,MOTO-AUTO,LEVE,29.4,0,0.0,15.3,57.0
2023,11,8.0,SD-SD,LEVE,15.2,0,0.0,1.0,78.0
2022,12,12.0,BICICLETA-AUTO,LEVE,21.3,1,0.0,8.9,62.0
2020,1,15.0,MOTO-OBJETO FIJO,LEVE,24.4,0,,11.2,66.0
2023,12,11.0,BICICLETA-UTILITARIO,LEVE,24.5,0,0.0,7.3,86.0
2022,9,11.0,BICICLETA-AUTO,LEVE,11.4,0,0.0,2.6,90.0
2022,10,9.0,BICICLETA-AUTO,LEVE,10.9,0,0.0,17.3,77.0
2023,12,18.0,MOTO-SD,LEVE,22.8,0,0.0,23.3,58.0
2021,6,14.0,BICICLETA-AUTO,LEVE,13.2,0,0.1,16.0,88.0
2024,2,16.0,AUTO-AUTO,LEVE,27.1,0,0.0,13.6,48.0
2020,1,9.0,MOTO-UTILITARIO,LEVE,18.2,0,,17.2,71.0
2024,8,18.0,SD-SD,LEVE,11.8,1,0.0,7.1,52.0
2019,3,18.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,22.4,0,,8.4,74.0
2020,12,16.0,SD-SD,LEVE,22.6,0,,13.0,58.0
2021,12,19.0,AUTO-AUTO,LEVE,27.8,0,0.0,25.8,68.0
2019,10,17.0,MOTO-UTILITARIO,LEVE,25.2,0,,8.1,18.0
2024,6,14.0,SD-SD,LEVE,12.8,0,0.0,10.6,58.0
2021,6,0.0,BICICLETA-OBJETO FIJO,GRAVE,,0,,,
2020,11,21.0,AUTO-SD,LEVE,29.1,0,,15.6,43.0
2021,5,15.0,SD-SD,LEVE,15.3,0,0.0,10.6,62.0
2020,12,6.0,AUTO-SD,LEVE,13.4,1,,10.8,68.0
2019,9,0.0,MOTO-AUTO,LEVE,11.8,0,,11.3,86.0
2023,9,14.0,MOTO-AUTO,LEVE,17.7,0,2.1,16.9,91.0
2024,3,13.0,SD-SD,LEVE,23.2,0,0.0,14.9,79.0
2023,6,19.0,PEATON-AUTO,LEVE,16.7,0,0.0,17.1,37.0
2020,12,16.0,SD-SD,LEVE,24.6,0,,22.3,35.0
2019,2,15.0,MOTO-MOVIL,LEVE,29.5,0,,12.2,57.0
2023,1,23.0,MOTO-AUTO,GRAVE,25.4,1,0.0,24.1,63.0
2020,10,0.0,MOTO-AUTO,LEVE,17.8,0,,13.9,92.0
2019,2,21.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,23.3,1,,16.9,50.0
