edad_victima,mes,es_fin_de_semana,temperatura_media,lluvia_mm,velocidad_viento,humedad_relativa,sexo_victima_M,rol_victima_CONDUCTOR,rol_victima_Conductor,rol_victima_PASAJERO,rol_victima_PEATON,rol_victima_SD,rol_victima_conductor,rol_victima_sd
0.7264830623067485,10,0,9.4,0.0,3.3,59.0,1,0,0,0,0,0,0,0
0.35640105030733604,10,0,18.5,0.0,17.2,54.0,1,0,0,0,0,1,0,0
-0.16171376649184133,4,0,18.1,0.0,3.9,92.0,1,0,0,0,0,1,0,0
0.43041745270721854,12,0,19.5,0.0,4.3,39.0,1,0,0,0,0,1,0,0
-0.16171376649184133,5,0,12.1,0.0,15.8,74.0,1,0,0,0,0,1,0,0
-0.5317957784912538,12,0,22.3,0.0,10.9,62.0,1,0,0,0,0,1,0,0
2.2808275127042807,12,0,20.7,0.0,19.4,76.0,1,0,0,0,0,1,0,0
-0.16171376649184133,1,0,16.5,0.0,1.6,72.0,1,0,0,0,0,1,0,0
-0.9758941928905487,8,0,19.0,0.3,12.7,79.0,0,0,0,0,0,1,0,0
-0.16171376649184133,5,0,15.3,0.0,17.4,74.0,0,0,0,0,0,1,0,0
-0.16171376649184133,5,0,13.1,0.0,5.8,65.0,1,0,0,0,0,1,0,0
-1.8640910216891384,2,0,26.7,0.0,15.1,69.0,1,0,0,0,0,1,0,0
-0.16171376649184133,3,1,21.2,0.0,13.7,87.0,1,0,0,0,0,1,0,0
-1.1239269976903137,1,0,18.4,0.0,22.9,67.0,0,0,0,0,0,1,0,0
-0.5317957784912538,8,0,2.5,0.0,4.0,89.0,1,0,0,0,0,0,0,0
0.8745158671065134,6,1,16.7,0.0,1.7,68.0,0,0,0,0,0,1,0,0
-0.5317957784912538,7,1,8.9,0.0,1.5,85.0,1,1,0,0,0,0,0,0
-0.16171376649184133,7,0,10.6,0.0,23.9,87.0,0,0,0,0,0,1,0,0
-0.16171376649184133,12,0,26.3,0.0,13.5,51.0,1,0,0,0,0,1,0,0
-0.9018777904906662,12,0,24.9,0.0,6.5,62.0,0,0,0,0,0,1,0,0
1.4666470863055734,11,0,29.2,0.0,13.1,59.0,1,0,0,0,0,1,0,0
0.1343518431076886,7,0,12.0,0.0,6.8,60.0,1,0,0,0,0,0,0,0
-1.197943400090196,1,0,18.1,0.0,11.3,67.0,1,0,0,0,0,1,0,0
0.9485322695063959,12,0,18.5,0.0,11.8,58.0,0,0,0,0,0,1,0,0
-0.5317957784912538,6,0,15.1,0.0,11.2,96.0,1,0,0,0,0,1,0,0
0.2823846479074536,6,0,13.3,0.0,15.4,43.0,1,0,0,0,0,0,0,0
1.8367290983049858,6,0,14.0,0.0,13.5,87.0,1,0,0,0,0,1,0,0
1.5406634887054558,2,0,23.5,3.0,4.4,82.0,1,0,0,0,0,1,0,0
0.504433855107101,7,0,10.8,0.0,0.7,92.0,0,0,0,0,0,1,0,0
-0.16171376649184133,6,1,11.3,0.0,23.2,88.0,1,0,0,0,0,1,0,0
0.43041745270721854,7,0,13.3,0.0,9.4,98.0,0,0,0,0,0,1,0,0
0.7264830623067485,11,0,18.1,0.0,11.3,67.0,0,0,0,0,0,1,0,0
3.687139158302048,10,0,28.3,0.0,11.2,50.0,0,0,0,0,1,0,0,0
0.2823846479074536,7,0,12.0,0.0,9.5,76.0,0,0,0,0,0,0,0,0
1.9107455007048684,10,0,21.5,0.0,11.7,39.0,1,0,0,0,0,1,0,0
-0.6798285832910187,8,1,7.4,0.0,5.1,84.0,1,0,0,0,0,1,0,0
-0.3837629736914888,7,0,11.0,0.0,16.5,73.0,1,0,0,0,1,0,0,0
-1.2719598024900787,7,0,18.1,0.0,11.3,67.0,0,0,0,0,0,1,0,0
-0.9758941928905487,12,0,28.3,0.0,14.6,47.0,1,0,0,0,0,1,0,0
-1.4199926072898437,10,0,22.6,0.0,14.9,71.0,1,0,0,0,1,0,0,0
-0.16171376649184133,3,0,21.9,0.0,10.4,66.0,1,0,0,0,0,1,0,0
-1.7160582168893737,5,1,17.1,0.0,8.4,93.0,1,0,0,0,1,0,0,0
0.8745158671065134,3,0,24.3,0.0,11.2,68.0,1,0,0,0,0,1,0,0
1.8367290983049858,4,1,16.1,0.0,6.5,88.0,0,0,0,0,0,1,0,0
-0.16171376649184133,12,0,20.3,0.0,7.6,58.0,0,0,0,0,0,1,0,0
-2.3081894360884334,1,0,25.3,0.0,7.9,69.0,1,0,0,0,0,1,0,0
1.0225486719062784,10,0,21.1,0.0,16.0,64.0,0,0,0,0,0,0,0,0
